prize,winner,date,gender,description
E. B. Wilson Medal,Charles Philippe Leblond,1982-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,Richard Hynes,2007-01-01T00:00:00Z,male,$null$
Darwin Medal,Enrico Coen,2004-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Darwin Medal,Gavin de Beer,1958-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Guggenheim Fellowship,Bernardo Houssay,1957-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Albert Lasker Award for Basic Medical Research,Michael Berridge,1989-01-01T00:00:00Z,male,American science award
Gruber Prize in Genetics,Elizabeth Blackburn,2006-01-01T00:00:00Z,female,award
Wolf Prize in Medicine,Michael Berridge,1994-01-01T00:00:00Z,male,award
Robert Koch Prize,Hans Robert Schöler,2008-01-01T00:00:00Z,male,award
Guggenheim Fellowship,C. Richard Tracy,1980-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Volvo Environment Prize,Daniel Pauly,2006-01-01T00:00:00Z,male,Swedish science award
Whitley Awards,Romulus Whitaker,2005-01-01T00:00:00Z,male,British environmental award
Robert Koch Prize,Shinya Yamanaka,2008-01-01T00:00:00Z,male,award
German Cancer Aid Award,Peter Lichter,2003-01-01T00:00:00Z,male,$null$
Cothenius Medal,Arnold Graffi,1977-01-01T00:00:00Z,male,science award
Wolf Prize in Medicine,Oliver Smithies,2002-01-01T00:00:00Z,male,award
Robert Koch Prize,William M. Hutchison,1970-01-01T00:00:00Z,male,award
Wolf Prize in Medicine,Mary F. Lyon,1997-01-01T00:00:00Z,female,award
Wolf Prize in Medicine,John Gurdon,1989-01-01T00:00:00Z,male,award
Wolf Prize in Medicine,Joan A. Steitz,2021-01-01T00:00:00Z,female,award
Gruber Prize in Genetics,Rudolf Jaenisch,2001-01-01T00:00:00Z,male,award
Leeuwenhoek Medal,Ferdinand Cohn,1885-01-01T00:00:00Z,male,award
Buchanan Medal,Adrian Peter Bird,2018-01-01T00:00:00Z,male,award
Wolf Prize in Medicine,Anthony Pawson,2005-01-01T00:00:00Z,male,award
Albert Lasker Award for Basic Medical Research,Randy Schekman,2002-01-01T00:00:00Z,male,American science award
Cullum Geographical Medal,René Dubos,1975-01-01T00:00:00Z,male,award
Schleiden Medal,Peter Sitte,1991-01-01T00:00:00Z,male,Leopoldina Medal
Volvo Environment Prize,Claire Kremen,2020-01-01T00:00:00Z,female,Swedish science award
Davy Medal,Melvin Calvin,1964-01-01T00:00:00Z,male,chemistry award given by the Royal Society
Wolf Prize in Medicine,Philippa Marrack,2015-01-01T00:00:00Z,female,award
Robert Koch Prize,Ralph Steinman,1999-01-01T00:00:00Z,male,award
Wolf Prize in Medicine,Jon van Rood,1978-01-01T00:00:00Z,male,award
Cothenius Medal,Hans Spemann,1935-01-01T00:00:00Z,male,science award
Robert Koch Prize,César Milstein,1980-01-01T00:00:00Z,male,award
Guggenheim Fellowship,Mina Bissell,1992-01-01T00:00:00Z,female,"grant in the arts, awarded annually"
Guggenheim Fellowship,Henry Paul Hansen,1947-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Gruber Prize in Genetics,Elliot Meyerowitz,2018-01-01T00:00:00Z,male,award
Hans Hass Award,Sylvia Earle,2010-01-01T00:00:00Z,female,award in recognition of contribution made to the advancement of our knowledge of the ocean
Volvo Environment Prize,James Lovelock,1996-01-01T00:00:00Z,male,Swedish science award
Guggenheim Fellowship,Albert Tyler,1951-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Albert Lasker Award for Basic Medical Research,David Baulcombe,2008-01-01T00:00:00Z,male,American science award
Gruber Prize in Genetics,Janet Rowley,2009-01-01T00:00:00Z,female,award
Whitley Awards,Zena Tooze,2005-01-01T00:00:00Z,female,British environmental award
Albert Lasker Award for Basic Medical Research,James Rothman,2002-01-01T00:00:00Z,male,American science award
Gruber Prize in Genetics,H. Robert Horvitz,2002-01-01T00:00:00Z,male,award
Gruber Prize in Genetics,Bob Waterston,2005-01-01T00:00:00Z,male,award
Wolf Prize in Medicine,Rudolf Jaenisch,2011-01-01T00:00:00Z,male,award
Carlos J. Finlay UNESCO Prize for Microbiology,Ruth Sonntag Nussenzweig,1985-01-01T00:00:00Z,female,scientific award
Wolf Prize in Medicine,Shinya Yamanaka,2011-01-01T00:00:00Z,male,award
Cothenius Medal,Ernst Haeckel,1864-01-01T00:00:00Z,male,science award
Leeuwenhoek Medal,André Lwoff,1960-01-01T00:00:00Z,male,award
Veitch Memorial Medal,Robert Lloyd Praeger,1921-01-01T00:00:00Z,male,an international prize issued annually by the Royal Horticultural Society
Guggenheim Fellowship,Lewis Victor Heilbrunn,1927-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Klung Wilhelmy Science Award,Stefan Jentsch,1992-01-01T00:00:00Z,male,award
Liebig Medal,Wilhelm Normann,1922-01-01T00:00:00Z,male,award
Albert Lasker Award for Basic Medical Research,Choh Hao Li,1962-01-01T00:00:00Z,male,American science award
Buchanan Medal,Barry Marshall,1998-01-01T00:00:00Z,male,award
Willard Gibbs Award,Har Gobind Khorana,1974-01-01T00:00:00Z,male,American chemistry award
Kyoto Prize,Shinya Yamanaka,2010-01-01T00:00:00Z,male,award for global achievement
Guggenheim Fellowship,Henry Paul Hansen,1943-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Edward Jenner Medal,Shirley Forster Murphy,1921-01-01T00:00:00Z,male,$null$
Wolf Prize in Medicine,Axel Ullrich,2010-01-01T00:00:00Z,male,award
Guggenheim Fellowship,Alberto Kornblihtt,1991-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Klung Wilhelmy Science Award,Stephan A. Sieber,2016-01-01T00:00:00Z,male,award
Volvo Environment Prize,Gretchen Daily,2012-01-01T00:00:00Z,female,Swedish science award
Albert Lasker Award for Basic Medical Research,Ferid Murad,1996-01-01T00:00:00Z,male,American science award
Gruber Prize in Genetics,Mary-Claire King,2004-01-01T00:00:00Z,female,award
Albert Lasker Award for Basic Medical Research,Christiane Nüsslein-Volhard,1991-01-01T00:00:00Z,female,American science award
Gruber Prize in Genetics,Michael Grunstein,2016-01-01T00:00:00Z,male,award
InBev-Baillet Latour Health Prize,Robert Weinberg,2008-01-01T00:00:00Z,male,Beglian medical award
Wolf Prize in Medicine,Ronald M. Evans,2012-01-01T00:00:00Z,male,award
Robert Koch Prize,Rudolf Jaenisch,2002-01-01T00:00:00Z,male,award
Albert Lasker Award for Basic Medical Research,Lee Hartwell,1998-01-01T00:00:00Z,male,American science award
Leo Szilard Lectureship Award,Matthew Meselson,1978-01-01T00:00:00Z,male,$null$
Volvo Environment Prize,Ray Hilborn,2006-01-01T00:00:00Z,male,Swedish science award
Erasmus Prize,Jean Piaget,1972-01-01T00:00:00Z,male,annual award for an exceptional contribution to the humanities or the arts awarded by the Praemium Erasmianum Foundation
Whitley Awards,Gladys Kalema-Zikusoka,2009-01-01T00:00:00Z,female,British environmental award
Albert Lasker Award for Basic Medical Research,Herbert Boyer,1980-01-01T00:00:00Z,male,American science award
Willard Gibbs Award,Vincent du Vigneaud,1956-01-01T00:00:00Z,male,American chemistry award
Volvo Environment Prize,Carl Walters,2006-01-01T00:00:00Z,male,Swedish science award
Schleiden Medal,Tom Rapoport,2011-01-01T00:00:00Z,male,Leopoldina Medal
Leeuwenhoek Medal,Selman Abraham Waksman,1950-01-01T00:00:00Z,male,award
Wolf Prize in Medicine,Lynne E. Maquat,2021-01-01T00:00:00Z,female,award
Leeuwenhoek Medal,Christian Gottfried Ehrenberg,1877-01-01T00:00:00Z,male,award
German Cancer Aid Award,Axel Ullrich,2005-01-01T00:00:00Z,male,$null$
Guggenheim Fellowship,Lynne Regan,2005-01-01T00:00:00Z,female,"grant in the arts, awarded annually"
Cothenius Medal,Bernhard Hassenstein,1993-01-01T00:00:00Z,male,science award
Cullum Geographical Medal,Robert Cushman Murphy,1940-01-01T00:00:00Z,male,award
UNESCO-Equatorial Guinea International Prize for Research in the Life Sciences,Hossein Baharvand,2014-01-01T00:00:00Z,male,$null$
Gruber Prize in Genetics,David Baulcombe,2014-01-01T00:00:00Z,male,award
Guggenheim Fellowship,Peter Moore,1979-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Guggenheim Fellowship,James F. Kidwell,1959-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Gruber Prize in Genetics,Gerald Fink,2010-01-01T00:00:00Z,male,award
Wolf Prize in Medicine,Mario Capecchi,2002-01-01T00:00:00Z,male,award
Leeuwenhoek Medal,Carl Woese,1992-01-01T00:00:00Z,male,award
German Cancer Aid Award,Hans-Georg Rammensee,2013-01-01T00:00:00Z,male,$null$
Wolf Prize in Medicine,Ruth Arnon,1998-01-01T00:00:00Z,female,award
Bavarian Maximilian Order for Science and Art,Otto Bütschli,1913-01-01T00:00:00Z,male,civil Bavarian order
Robert Koch Prize,Axel Ullrich,2001-01-01T00:00:00Z,male,award
Wolf Prize in Mathematics,Israel Gelfand,1978-01-01T00:00:00Z,male,award
Albert Lasker Award for Basic Medical Research,J. Michael Bishop,1982-01-01T00:00:00Z,male,American science award
Carlos J. Finlay UNESCO Prize for Microbiology,Susana López Charreton,2001-01-01T00:00:00Z,female,scientific award
Cothenius Medal,Rudolf Virchow,1901-01-01T00:00:00Z,male,science award
Shaw Prize,Jules Hoffmann,2011-01-01T00:00:00Z,male,award
Göran Gustafsson Prize for molecular biology,Claudia Köhler,2017-01-01T00:00:00Z,female,Swedish science award for young scientists
A.O. Kovalevsky Medal,Scott F. Gilbert,2004-01-01T00:00:00Z,male,$null$
A.O. Kovalevsky Medal,Günter P. Wagner,2016-01-01T00:00:00Z,male,$null$
Villum Kann Rasmussen Annual Award,Birger Lindberg Møller,2007-01-01T00:00:00Z,male,Danish research prize for techincal research
ANZAAS Medal,Frank Fenner,1980-01-01T00:00:00Z,male,science award in New Zealand
Crafoord Prize in Biosciences,Ernst Mayr,1999-01-01T00:00:00Z,male,$null$
Carl-Ludwig Honorary Medal,Walter Rudolf Hess,1938-01-01T00:00:00Z,male,$null$
Göran Gustafsson Prize for molecular biology,Kerstin Lindblad-Toh,2013-01-01T00:00:00Z,female,Swedish science award for young scientists
FEBS/EMBO Women in Science Award,Caroline Dean,2015-01-01T00:00:00Z,female,awards highlights major contributions by female scientists to life sciences research
Villum Kann Rasmussen Annual Award,Birgitte Ahring,1999-01-01T00:00:00Z,female,Danish research prize for techincal research
Novartis Prize for Basic Immunology,Ralph Steinman,2004-01-01T00:00:00Z,male,prize for immunology research
Prime Minister’s Prize for Science,Elizabeth S. Dennis,2000-01-01T00:00:00Z,female,Australian science award
A.O. Kovalevsky Medal,Denis Duboule,2013-01-01T00:00:00Z,male,$null$
Leidy Award,Edward O. Wilson,1979-01-01T00:00:00Z,male,award for work in the natural sciences
Göran Gustafsson Prize for molecular biology,Taija Mäkinen,2020-01-01T00:00:00Z,female,Swedish science award for young scientists
Lundbeckfonden’s Research Prize for Young Scientists,Eske Willerslev,2011-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,Edward O. Wilson,1990-01-01T00:00:00Z,male,$null$
NIH MERIT award,Inder Verma,1987-01-01T00:00:00Z,male,$null$
Villum Kann Rasmussen Annual Award,Carsten Rahbek,2013-01-01T00:00:00Z,male,Danish research prize for techincal research
Hodgkins Medal,Frits Warmolt Went,1967-01-01T00:00:00Z,male,$null$
NIH MERIT award,Sandra Schmid,2000-01-01T00:00:00Z,female,$null$
ANZAAS Medal,Gustav Nossal,1982-01-01T00:00:00Z,male,science award in New Zealand
Novartis Prize for Basic Immunology,Harald von Boehmer,2016-01-01T00:00:00Z,male,prize for immunology research
A.O. Kovalevsky Medal,Walter J. Gehring,2003-01-01T00:00:00Z,male,$null$
A.O. Kovalevsky Medal,William Jeffery,2012-01-01T00:00:00Z,male,$null$
Crafoord Prize in Biosciences,Tomoko Ohta,2015-01-01T00:00:00Z,female,$null$
Crafoord Prize in Biosciences,Carl Woese,2003-01-01T00:00:00Z,male,$null$
Hodgkins Medal,E. Cuyler Hammond,1976-01-01T00:00:00Z,male,$null$
Ernst Jung Gold Medal for Medicine,Pascale Cossart,2017-01-01T00:00:00Z,female,lifetime achievement prize
Göran Gustafsson Prize for molecular biology,Dan Hultmark,1996-01-01T00:00:00Z,male,Swedish science award for young scientists
James Cook Medal,Bernardo Houssay,1948-01-01T00:00:00Z,male,medal awarded by Royal Society of New South Wales
Asa Gray Award,Michael Donoghue,2017-01-01T00:00:00Z,male,American science award
Göran Gustafsson Prize for molecular biology,Siv Andersson,2005-01-01T00:00:00Z,female,Swedish science award for young scientists
Viktor Hamburger Outstanding Educator Prize,Eugenie Scott,2007-01-01T00:00:00Z,female,award
Vilcek Prize,Peter Walter,2015-01-01T00:00:00Z,male,prize program which spotlights and supports immigrant contributions to American society
Viktor Hamburger Outstanding Educator Prize,Maxine Singer,2010-01-01T00:00:00Z,female,award
Göran Gustafsson Prize for molecular biology,Jarone Pinhassi,2012-01-01T00:00:00Z,male,Swedish science award for young scientists
Breuer Award,Ralf Baumeister,2008-01-01T00:00:00Z,male,science award
Mendel Medal,Kenneth R. Miller,2009-01-01T00:00:00Z,male,American science award
NIH MERIT award,Lily Jan,2006-01-01T00:00:00Z,female,$null$
NIH MERIT award,Eric N. Olson,2000-01-01T00:00:00Z,male,$null$
NIH MERIT award,Carol Prives,1996-01-01T00:00:00Z,female,$null$
FEBS/EMBO Women in Science Award,Pascale Cossart,2014-01-01T00:00:00Z,female,awards highlights major contributions by female scientists to life sciences research
Cranwell Medal,Jean Fleming,2016-01-01T00:00:00Z,female,New Zealand science communicator award
Ernst Jung Gold Medal for Medicine,Beatrice Mintz,1990-01-01T00:00:00Z,female,lifetime achievement prize
Mendel Medal,Maxine Singer,1996-01-01T00:00:00Z,female,American science award
Inserm Grand Prix,Anne Dejean-Assémat,2014-01-01T00:00:00Z,female,science award conferred by Inserm
Vilcek Prize,Rudolf Jaenisch,2007-01-01T00:00:00Z,male,prize program which spotlights and supports immigrant contributions to American society
Carlos J. Finlay UNESCO Prize for Microbiology,Ádám Kondorosi,1999-01-01T00:00:00Z,male,scientific award
Darwin Medal,Caroline Dean,2016-01-01T00:00:00Z,female,medal awarded by the Royal Society every alternate year
EMBO Gold Medal,Sophie G. Martin,2014-01-01T00:00:00Z,female,$null$
Shanti Swarup Bhatnagar Prize for Science and Technology,Amitabha Chattopadhyay,2002-01-01T00:00:00Z,male,Indian research award
E. B. Wilson Medal,Mina Bissell,2016-01-01T00:00:00Z,female,$null$
Albert Lasker Award for Basic Medical Research,Mario Capecchi,2001-01-01T00:00:00Z,male,American science award
Shanti Swarup Bhatnagar Prize for Science and Technology,Vishweshwaraiah Prakash,1996-01-01T00:00:00Z,male,Indian research award
Robert Koch Prize,Jonas Salk,1962-01-01T00:00:00Z,male,award
Robert Koch Prize,Alex J. van der Eb,1989-01-01T00:00:00Z,male,award
Crafoord Prize in Biosciences,Eugene Odum,1987-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Lynne E. Maquat,2015-01-01T00:00:00Z,female,award
Prime Minister’s Prize for Science,Mandyam Veerambudi Srinivasan,2006-01-01T00:00:00Z,male,Australian science award
Crafoord Prize in Biosciences,Robert Trivers,2007-01-01T00:00:00Z,male,$null$
Guggenheim Fellowship,Pere Alberch,1986-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Guggenheim Fellowship,Michael Purugganan,2006-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
EliteForsk Prize,Carsten Rahbek,2010-01-01T00:00:00Z,male,$null$
Albert Lasker Award for Basic Medical Research,Oswald Avery,1947-01-01T00:00:00Z,male,American science award
Guggenheim Fellowship,Peter Moore,1979-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Albert Lasker Award for Basic Medical Research,James Rothman,2002-01-01T00:00:00Z,male,American science award
Albert Lasker Award for Basic Medical Research,Herbert Boyer,1980-01-01T00:00:00Z,male,American science award
Robert Koch Prize,Jon van Rood,1977-01-01T00:00:00Z,male,award
Shanti Swarup Bhatnagar Prize for Science and Technology,Maharaj Kishan Bhan,1990-01-01T00:00:00Z,male,Indian research award
Albert Lasker Award for Basic Medical Research,Yoshio Masui,1998-01-01T00:00:00Z,male,American science award
Albert Lasker Award for Basic Medical Research,Ernest McCulloch,2005-01-01T00:00:00Z,male,American science award
Albert Lasker Award for Basic Medical Research,Francis O. Schmitt,1956-01-01T00:00:00Z,male,American science award
Albert Lasker Award for Basic Medical Research,Arthur L. Horwich,2011-01-01T00:00:00Z,male,American science award
Albert Lasker Award for Basic Medical Research,Georges J. F. Köhler,1984-01-01T00:00:00Z,male,American science award
Albert Lasker Award for Basic Medical Research,Günter Blobel,1993-01-01T00:00:00Z,male,American science award
Albert Lasker Award for Basic Medical Research,Har Gobind Khorana,1968-01-01T00:00:00Z,male,American science award
Guggenheim Fellowship,Alberto Kornblihtt,1991-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
Gairdner Foundation International Award,George Klein,1976-01-01T00:00:00Z,male,award
Robert Koch Prize,Ralph Steinman,1999-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Anthony Pawson,1994-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,James E. Darnell,1986-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Janet Rowley,1996-01-01T00:00:00Z,female,award
Gairdner Foundation International Award,Robert Weinberg,1992-01-01T00:00:00Z,male,award
Willard Gibbs Award,Har Gobind Khorana,1974-01-01T00:00:00Z,male,American chemistry award
Albert Lasker Award for Basic Medical Research,Raymond L. Erikson,1982-01-01T00:00:00Z,male,American science award
Benjamin Franklin Medal,Philippe Horvath,2018-01-01T00:00:00Z,male,science and engineering award presented by the Franklin Institute
Gairdner Foundation International Award,Marc Kirschner,2001-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,James Rothman,1996-01-01T00:00:00Z,male,award
Albert Lasker Award for Basic Medical Research,Michael Grunstein,2018-01-01T00:00:00Z,male,American science award
Robert Koch Prize,Ruth Arnon,1979-01-01T00:00:00Z,female,award
Albert Lasker Award for Basic Medical Research,Mario Capecchi,2001-01-01T00:00:00Z,male,American science award
Gairdner Foundation International Award,Christian de Duve,1967-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Craig Mello,2005-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Elwood V. Jensen,1979-01-01T00:00:00Z,male,award
